2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveRFQ  <=BE ReadyForQuery(I)
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgConnection <init>     types using binary send = OID_ARRAY,UUID,BYTEA,INT8,INT2,INT4,POINT,TIMESTAMP,BOX,TIMESTAMPTZ,NUMERIC,BYTEA_ARRAY,INT2_ARRAY,INT4_ARRAY,TEXT_ARRAY,TIMETZ,VARCHAR_ARRAY,INT8_ARRAY,TIME,FLOAT4,FLOAT8,FLOAT4_ARRAY,FLOAT8_ARRAY
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgConnection <init>     types using binary receive = OID_ARRAY,UUID,BYTEA,INT8,INT2,INT4,POINT,TIMESTAMP,BOX,TIMESTAMPTZ,NUMERIC,BYTEA_ARRAY,INT2_ARRAY,INT4_ARRAY,TEXT_ARRAY,TIMETZ,VARCHAR_ARRAY,INT8_ARRAY,DATE,TIME,FLOAT4,FLOAT8,FLOAT4_ARRAY,FLOAT8_ARRAY
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgConnection <init>     integer date/time = true
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl execute   simple execute, handler=org.postgresql.jdbc.PgStatement$StatementResultHandler@f58853c, maxRows=0, fetchSize=0, flags=17
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendParse  FE=> Parse(stmt=null,query="select current_schema()",oids={})
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendBind  FE=> Bind(stmt=null,portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendDescribePortal  FE=> Describe(portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendExecute  FE=> Execute(portal=null,limit=0)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendSync  FE=> Sync
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE ParseComplete [null]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE BindComplete [unnamed]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields  <=BE RowDescription(1)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(current_schema,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=6)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveCommandStatus  <=BE CommandStatus(SELECT 1)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveRFQ  <=BE ReadyForQuery(I)
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl execute   simple execute, handler=org.postgresql.jdbc.PgStatement$StatementResultHandler@15d49048, maxRows=0, fetchSize=0, flags=17
